key,achievable,missing,fill_instant,exit_instant,hold_time_min,first_surface_poll,first_tail3_poll,staleness_min,freshness_passed,pushed_out_of_tail3,direction,backtest_R,r_1mtruth,win
2022-01-11T10:40:00-05:00,True,False,2022-01-11 10:40:00-05:00,2022-01-11 11:05:00-05:00,25.0,2022-01-11 10:40:00-05:00,2022-01-11 10:40:00-05:00,0.0,True,False,long,1.496,,True
2022-01-12T11:40:00-05:00,True,False,2022-01-12 11:40:00-05:00,2022-01-12 15:35:00-05:00,235.0,2022-01-12 11:40:00-05:00,2022-01-12 11:40:00-05:00,0.0,True,False,short,0.719,,True
2022-01-14T10:00:00-05:00,False,True,2022-01-14 10:00:00-05:00,2022-01-14 13:20:00-05:00,200.0,2022-01-14 10:40:00-05:00,2022-01-14 10:40:00-05:00,40.0,False,False,long,-1.007,,False
2022-01-18T10:30:00-05:00,True,False,2022-01-18 10:30:00-05:00,2022-01-18 11:05:00-05:00,35.0,2022-01-18 10:30:00-05:00,2022-01-18 10:30:00-05:00,0.0,True,False,long,-1.008,,False
2022-01-19T10:55:00-05:00,False,True,2022-01-19 10:55:00-05:00,2022-01-19 12:10:00-05:00,75.0,2022-01-19 11:40:00-05:00,2022-01-19 11:40:00-05:00,45.0,False,False,short,-0.007,,False
2022-01-21T10:35:00-05:00,True,False,2022-01-21 10:35:00-05:00,2022-01-21 10:40:00-05:00,5.0,2022-01-21 10:35:00-05:00,2022-01-21 10:35:00-05:00,0.0,True,False,short,1.496,,True
2022-01-21T11:35:00-05:00,True,False,2022-01-21 11:35:00-05:00,2022-01-21 11:45:00-05:00,10.0,2022-01-21 11:35:00-05:00,2022-01-21 11:35:00-05:00,0.0,True,False,long,-0.008,,False
2022-01-25T09:40:00-05:00,True,False,2022-01-25 09:40:00-05:00,2022-01-25 09:40:00-05:00,0.0,2022-01-25 09:40:00-05:00,2022-01-25 09:40:00-05:00,0.0,True,False,long,1.495,,True
2022-01-27T11:00:00-05:00,True,False,2022-01-27 11:00:00-05:00,2022-01-27 11:00:00-05:00,0.0,2022-01-27 11:00:00-05:00,2022-01-27 11:00:00-05:00,0.0,True,False,short,-1.092,,False
2022-02-01T09:50:00-05:00,False,True,2022-02-01 09:50:00-05:00,2022-02-01 13:45:00-05:00,235.0,2022-02-01 10:35:00-05:00,2022-02-01 10:35:00-05:00,45.0,False,False,short,0.354,,True
2022-02-02T09:40:00-05:00,True,False,2022-02-02 09:40:00-05:00,2022-02-02 09:40:00-05:00,0.0,2022-02-02 09:40:00-05:00,2022-02-02 09:40:00-05:00,0.0,True,False,short,1.493,,True
