level,side,event_type,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,vwap,ny_am_only,687,1.268,0.3421,0.5112,-0.3714,-255.161,-276.632,227,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,143,0.264,0.3916,0.6708,-0.187,-26.747,-38.49,182,sub_floor
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,prior_day_mid,none,2712,5.004,0.1692,0.5456,-0.5625,-1525.616,-1524.087,553,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,prior_day_mid,ny_am_only,1292,2.384,0.1718,0.6258,-0.4569,-590.304,-592.878,227,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,880,1.624,0.1727,0.5664,-0.5377,-473.193,-500.971,182,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,1.5R,none,2712,5.004,0.5066,0.6852,-0.2264,-613.91,-626.297,553,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,1.5R,ny_am_only,1292,2.384,0.5155,0.7386,-0.1828,-236.142,-273.417,227,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,880,1.624,0.5125,0.6965,-0.2165,-190.556,-219.503,182,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,2R,none,2712,5.004,0.4038,0.6721,-0.2867,-777.397,-788.224,553,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,2R,ny_am_only,1292,2.384,0.4125,0.7265,-0.2333,-301.367,-322.479,227,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,880,1.624,0.4057,0.6785,-0.2815,-247.746,-281.856,182,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,vwap,none,1573,2.902,0.3973,0.5969,-0.2418,-380.358,-379.131,553,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,vwap,ny_am_only,687,1.268,0.4687,0.6172,-0.1633,-112.21,-120.852,227,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,vwap,vwap_slope_agreement,143,0.264,0.4895,0.6241,-0.1036,-14.817,-17.534,182,sub_floor
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,prior_day_mid,none,2712,5.004,0.2467,0.6476,-0.3355,-909.923,-951.38,553,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,prior_day_mid,ny_am_only,1292,2.384,0.2546,0.6984,-0.2766,-357.429,-391.451,227,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,880,1.624,0.25,0.6109,-0.3736,-328.759,-365.358,182,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,1.5R,none,2712,5.004,0.3897,0.5993,-0.3099,-840.536,-870.188,553,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,1.5R,ny_am_only,1292,2.384,0.3808,0.6238,-0.2882,-372.304,-375.37,227,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,880,1.624,0.3898,0.5911,-0.3183,-280.098,-304.387,182,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,2R,none,2712,5.004,0.3352,0.6487,-0.2958,-802.194,-843.254,553,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,2R,ny_am_only,1292,2.384,0.3235,0.6753,-0.2708,-349.859,-360.034,227,dead
pdh,upper,sweep_and_close_back_inside,retest_limit,1.0xATR,2R,vwap_slope_agreement,880,1.624,0.3398,0.6588,-0.288,-253.439,-283.547,182,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,vwap,none,244,0.45,0.2705,0.3299,-0.785,-191.53,-198.24,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,vwap,ny_am_only,86,0.159,0.2907,0.3399,-0.7111,-61.152,-61.805,0,sub_floor
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,48,0.089,0.2083,0.1295,-1.0347,-49.667,-47.915,0,sub_floor
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,ny_am_only,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,none,1054,1.945,0.3795,0.4015,-0.5652,-595.728,-600.501,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,ny_am_only,369,0.681,0.374,0.4214,-0.545,-201.106,-206.199,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,725,1.338,0.3931,0.4372,-0.5134,-372.185,-377.036,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,2R,none,1054,1.945,0.3188,0.4439,-0.5781,-609.266,-614.93,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,2R,ny_am_only,369,0.681,0.3089,0.4362,-0.5883,-217.076,-222.522,0,dead
pdl,lower,break_and_retest,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,725,1.338,0.3338,0.4882,-0.5135,-372.279,-377.13,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,vwap,none,244,0.45,0.4057,0.4769,-0.3311,-80.787,-85.414,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,vwap,ny_am_only,86,0.159,0.4302,0.5717,-0.1785,-15.35,-16.798,0,sub_floor
pdl,lower,break_and_retest,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,48,0.089,0.375,0.2586,-0.3353,-16.095,-17.744,0,sub_floor
pdl,lower,break_and_retest,next_bar_open,1.0xATR,prior_day_mid,none,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,1.0xATR,prior_day_mid,ny_am_only,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,0,0.0,,,,0.0,0.0,0,insufficient_n
pdl,lower,break_and_retest,next_bar_open,1.0xATR,1.5R,none,1054,1.945,0.3947,0.5972,-0.3129,-329.827,-336.12,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,1.5R,ny_am_only,369,0.681,0.374,0.624,-0.2892,-106.725,-121.26,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,725,1.338,0.3917,0.6023,-0.3072,-222.709,-225.444,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,2R,none,1054,1.945,0.3349,0.6312,-0.3158,-332.852,-345.108,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,2R,ny_am_only,369,0.681,0.3252,0.7031,-0.2451,-90.435,-109.977,0,dead
pdl,lower,break_and_retest,next_bar_open,1.0xATR,2R,vwap_slope_agreement,725,1.338,0.3366,0.6476,-0.2977,-215.847,-224.581,0,dead
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,vwap,none,273,0.504,0.3004,0.5054,-0.5785,-157.943,-168.632,165,dead
pdl,lower,break_and_retest,retest_limit,beyond_extreme_2tk,vwap,ny_am_only,107,0.197,0.3738,0.6139,-0.3569,-38.189,-48.681,52,sub_floor
