model,confirm,entry,filter,bucket,stop,exit,n,tr_wk,wr,pf,expR,totR,maxDD_R,flag,mirage
fill,conf15,next_open,first15m_strength,0.25-0.75,atr1.5,2R,187,0.345,0.5615,1.3136,0.0501,9.367,-4.652,live_candidate,False
fill,conf15,next_open,first15m_strength,0.75-1.25,open_buffer,prior_close,51,0.094,0.5294,1.2413,0.1099,5.602,-5.481,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,open_buffer,half_gap,51,0.094,0.5686,0.6982,-0.098,-4.999,-6.328,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,open_buffer,1.5R,51,0.094,0.5294,1.4242,0.1959,9.993,-5.353,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,open_buffer,2R,51,0.094,0.4902,1.4067,0.1997,10.186,-5.353,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,atr1.0,prior_close,51,0.094,0.6667,1.8328,0.136,6.937,-1.66,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,atr1.0,half_gap,51,0.094,0.6863,0.8696,-0.0166,-0.845,-2.682,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,atr1.0,1.5R,51,0.094,0.6078,2.1537,0.2207,11.255,-1.989,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,atr1.0,2R,51,0.094,0.6078,2.2465,0.2384,12.161,-1.989,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,atr1.5,prior_close,51,0.094,0.6667,1.7826,0.0876,4.468,-1.026,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,atr1.5,half_gap,51,0.094,0.6863,0.8392,-0.0141,-0.72,-1.944,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,atr1.5,1.5R,51,0.094,0.6078,2.1532,0.1506,7.681,-1.66,sub_floor,False
fill,conf15,next_open,first15m_strength,0.75-1.25,atr1.5,2R,51,0.094,0.6078,2.1532,0.1506,7.681,-1.66,sub_floor,False
fill,conf15,next_open,first15m_strength,>1.25,open_buffer,prior_close,26,0.048,0.2308,0.6046,-0.2928,-7.613,-8.955,sub_floor,True
fill,conf15,next_open,first15m_strength,>1.25,open_buffer,half_gap,26,0.048,0.2692,0.4752,-0.3786,-9.844,-9.296,sub_floor,True
fill,conf15,next_open,first15m_strength,>1.25,open_buffer,1.5R,26,0.048,0.2692,0.4867,-0.3736,-9.714,-9.183,sub_floor,False
fill,conf15,next_open,first15m_strength,>1.25,open_buffer,2R,26,0.048,0.2692,0.6154,-0.2799,-7.278,-8.293,sub_floor,False
fill,conf15,next_open,first15m_strength,>1.25,atr1.0,prior_close,26,0.048,0.3846,0.6929,-0.1151,-2.993,-3.486,sub_floor,False
