failure_def,timing,entry,stop,exit,filt,n_events_raw,n_no_fill,flags,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
OR30_break_reclaim,le10bars,failed_level_retest,atr_1.0,or_midpoint,none,7304,1386,,3294,6.08230018464785,0.6730418943533698,0.7253607774096518,-0.030882972564751424,-101.72851162829119,-104.16959592341271,1581,1713
OR30_break_reclaim,le10bars,failed_level_retest,atr_1.0,or_midpoint,flat_vwap_slope_only,7304,1386,,2007,3.7058823529411766,0.6537120079720976,0.7316896587354293,-0.025497599044480766,-51.173681282272895,-52.433735628160754,950,1057
OR30_break_reclaim,le10bars,failed_level_retest,atr_1.0,1.5R,none,7304,1386,,2016,3.7225006594566077,0.45982142857142855,0.8285238768721123,-0.032567719768828135,-65.65652305395751,-68.0351183174095,949,1067
OR30_break_reclaim,le10bars,failed_level_retest,atr_1.0,1.5R,flat_vwap_slope_only,7304,1386,,1442,2.6626219994724347,0.46255201109570043,0.7953944072917761,-0.031111267204390267,-44.862447308730765,-47.18009774404374,672,770
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,none,1063,0,,1062,1.9609601688208917,0.22598870056497175,0.27345398387857145,-0.7852725543221859,-833.9594526901615,-837.4504031724173,519,543
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,flat_vwap_slope_only,1063,0,,123,0.22711685571089424,0.24390243902439024,0.32035053884243003,-0.5775010267956967,-71.0326262958707,-76.9250188156528,54,69
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,or_midpoint,none,1063,0,,1059,1.9554207333157478,0.26628895184135976,0.404739533941905,-0.7272780500151897,-770.187454966086,-790.5390998200204,518,541
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,or_midpoint,flat_vwap_slope_only,1063,0,,121,0.22342389870746507,0.33884297520661155,0.46436541708570256,-0.51188775780172,-61.93841869400812,-68.34643666130772,54,67
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,1.5R,none,1063,0,,1060,1.9572672118174625,0.32264150943396225,0.25468440636931006,-0.856641593387372,-908.0400889906143,-906.5098469332554,518,542
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,1.5R,flat_vwap_slope_only,1063,0,,122,0.22527037720917964,0.39344262295081966,0.23479594821915822,-0.8399063697106295,-102.46857710469679,-104.97265687142192,54,68
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,vwap_target,none,1063,0,,1005,1.8557108942231602,0.5383084577114428,0.3659580541440958,-0.05056410201556002,-50.81692252563782,-51.23987029517249,497,508
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,vwap_target,flat_vwap_slope_only,1063,0,,121,0.22342389870746507,0.3305785123966942,0.1357749135782328,-0.05590663759464844,-6.764703148952461,-6.802002742517695,54,67
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,or_midpoint,none,1063,0,,966,1.7836982326562913,0.6728778467908902,0.5564053455809207,-0.0518301692586494,-50.067943503855325,-51.85854296556092,474,492
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,or_midpoint,flat_vwap_slope_only,1063,0,,116,0.21419150619889213,0.5517241379310345,0.27687329551680206,-0.05786679747783005,-6.712548507428286,-6.86683533873349,52,64
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,1.5R,none,1063,0,,938,1.7319968346082828,0.44989339019189767,0.7113454076698706,-0.06788881577737822,-63.67970919918078,-70.2137181723835,461,477
OR30_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,1.5R,flat_vwap_slope_only,1063,0,,114,0.21049854919546296,0.42105263157894735,0.5040783558992532,-0.1111273576693038,-12.668518774300633,-12.66991782277286,51,63
OR30_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,vwap_target,none,1063,171,,891,1.6452123450276972,0.26374859708193044,0.6920138987701505,-0.6576671033514836,-585.9813890861719,-689.4805325159218,429,462
OR30_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,vwap_target,flat_vwap_slope_only,1063,171,,158,0.29174360327090476,0.379746835443038,0.9731355290730805,-0.041043595198815744,-6.484888041412887,-92.5698799202437,70,88
OR30_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,or_midpoint,none,1063,171,,890,1.6433658665259827,0.12247191011235956,0.3885584873410955,-1.6077820224719115,-1430.9260000000013,-1442.6940000000013,429,461
OR30_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,or_midpoint,flat_vwap_slope_only,1063,171,,157,0.2898971247691902,0.25477707006369427,0.5593194544149367,-0.9774968152866133,-153.46699999999828,-152.8739999999989,70,87
OR30_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,1.5R,none,1063,171,,891,1.6452123450276972,0.0,0.0,-1.4034792368125701,-1250.5,-1247.5,429,462
OR30_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,1.5R,flat_vwap_slope_only,1063,171,,158,0.29174360327090476,0.0,0.0,-1.1012658227848102,-174.0,-173.5,70,88
OR30_break_reclaim,before_1030,failed_level_retest,atr_1.0,vwap_target,none,1063,171,,838,1.547348984436824,0.7804295942720764,0.629591203683315,-0.032443734515706125,-27.18784952416173,-29.296889463484984,407,431
OR30_break_reclaim,before_1030,failed_level_retest,atr_1.0,vwap_target,flat_vwap_slope_only,1063,171,,155,0.286204167765761,0.7225806451612903,0.6649204888898722,-0.017351718349801003,-2.689516344219155,-3.722782441595286,69,86
OR30_break_reclaim,before_1030,failed_level_retest,atr_1.0,or_midpoint,none,1063,171,,812,1.4993405433922449,0.7105911330049262,0.6556413830854375,-0.04862794042521047,-39.485887625270905,-42.78409400323599,392,420
OR30_break_reclaim,before_1030,failed_level_retest,atr_1.0,or_midpoint,flat_vwap_slope_only,1063,171,,152,0.2806647322606173,0.75,0.6222540442258838,-0.03807813385571229,-5.787876346068269,-6.801205409584611,68,84
OR30_break_reclaim,before_1030,failed_level_retest,atr_1.0,1.5R,none,1063,171,,789,1.4568715378528094,0.43979721166032953,0.7251448004678575,-0.06479478823308077,-51.123087915900726,-57.87274425945229,382,407
OR30_break_reclaim,before_1030,failed_level_retest,atr_1.0,1.5R,flat_vwap_slope_only,1063,171,,151,0.2788182537589027,0.41721854304635764,0.4985538316605055,-0.10442178655632357,-15.767689770004859,-17.198086272789,68,83
ONH_ONL_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,none,6495,106,,6337,11.70113426536534,0.107306296354742,0.08688810565158603,-2.137881743994624,-13547.756611693932,-13544.288405098865,3073,3264
ONH_ONL_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,flat_vwap_slope_only,6495,106,,2969,5.48219467159061,0.097002357696194,0.059756822754546295,-2.010538131418264,-5969.287712180827,-5967.853872701414,1416,1553
