level,side,event_type,window,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
on_hi,upper,break_and_retest,full_rth,retest_limit,beyond_extreme_2tk,2R,none,1680,3.1,0.4458,0.4105,-0.6282,-1055.356,-1065.153,267,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,1093,2.017,0.4318,0.3721,-0.7007,-765.824,-778.841,178,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,1.0xATR,vwap,none,506,0.934,0.4071,0.4763,-0.2697,-136.457,-140.954,267,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,1.0xATR,vwap,vwap_slope_agreement,110,0.203,0.3727,0.223,-0.3456,-38.018,-39.838,178,sub_floor
on_hi,upper,break_and_retest,full_rth,retest_limit,1.0xATR,prior_day_mid,none,380,0.701,0.3395,0.6347,-0.2839,-107.893,-124.543,267,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,241,0.445,0.3361,0.5954,-0.3245,-78.207,-96.135,178,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,1.0xATR,1.5R,none,1680,3.1,0.4274,0.5669,-0.3472,-583.25,-590.892,267,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,1093,2.017,0.4382,0.5613,-0.3534,-386.235,-396.805,178,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,1.0xATR,2R,none,1680,3.1,0.3506,0.578,-0.384,-645.08,-669.579,267,dead
on_hi,upper,break_and_retest,full_rth,retest_limit,1.0xATR,2R,vwap_slope_agreement,1093,2.017,0.3586,0.5665,-0.4001,-437.285,-457.145,178,dead
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,beyond_extreme_2tk,vwap,none,319,0.589,0.3354,0.3808,-0.4702,-149.98,-151.945,0,dead
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,9,0.017,0.5556,0.7274,-0.2034,-1.831,-1.902,0,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,645,1.19,0.3163,0.7337,-0.2351,-151.653,-174.548,0,dead
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,63,0.116,0.3968,0.9072,-0.0601,-3.789,-11.919,0,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,beyond_extreme_2tk,1.5R,none,919,1.696,0.4037,0.6108,-0.3052,-280.457,-285.091,0,dead
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,91,0.168,0.4615,0.8274,-0.12,-10.919,-13.758,0,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,beyond_extreme_2tk,2R,none,919,1.696,0.358,0.6913,-0.2607,-239.544,-247.179,0,dead
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,91,0.168,0.3846,0.8471,-0.12,-10.918,-20.122,0,sub_floor
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,1.0xATR,vwap,none,319,0.589,0.4514,0.4508,-0.2481,-79.145,-81.769,0,dead
on_hi,upper,first_touch_rejection,0930_1030,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,9,0.017,0.6667,0.9862,-0.006,-0.054,-1.765,0,sub_floor
