idx,detector,c,p,W,trig_tk,E,exit_mode,Rmult,trail_atr,n,pf,wr,net,expR,is_n,is_pf,oos_n,oos_pf,minyr_pf
89,ratio,1.5,,12,4,4,R,2.0,2.0,15,0.30023640661938533,26.666666666666668,-444.0,-0.35895381458976644,7,0.21299921691464369,8,0.3885804916732752,0.0
90,ratio,1.5,,12,4,4,trail,2.0,2.0,15,0.4373713380839467,26.666666666666668,-126.89285714285143,-0.13776883116853567,7,0.20760028149190635,8,0.9147173489279697,0.0
91,ratio,1.5,,12,4,4,trail,2.0,3.0,15,0.158126876876873,20.0,-320.39285714286234,-0.33640231794491465,7,0.06022575375018615,8,0.32615345398928164,0.0
92,ratio,1.5,,12,4,8,R,1.5,2.0,16,0.39736012608353033,31.25,-382.375,-0.3165502479619874,7,0.2909162098668755,9,0.5051546391752577,0.0
93,ratio,1.5,,12,4,8,R,2.0,2.0,16,0.39992119779353824,31.25,-380.75,-0.31089181174799563,7,0.21299921691464369,9,0.5892149088025377,0.0
94,ratio,1.5,,12,4,8,trail,2.0,2.0,16,0.6816774992262717,31.25,-73.46428571427896,-0.10716500136946013,7,0.20760028149190635,9,1.600727603456254,0.0
95,ratio,1.5,,12,4,8,trail,2.0,3.0,16,0.2473254504504428,25.0,-286.4464285714348,-0.30300406741089064,7,0.06022575375018615,9,0.5684425184807312,0.0
96,ratio,2.0,,4,1,4,R,1.5,2.0,2783,1.0402668447038768,42.328422565576716,3814.75,0.004884817653238605,1897,1.0227831050129739,886,1.067753583840139,0.919971182421277
97,ratio,2.0,,4,1,4,R,2.0,2.0,2508,1.0777243699224204,39.27432216905901,7110.75,0.03201104884204448,1710,1.0847219361944074,798,1.0667620510446694,0.9246550783381402
98,ratio,2.0,,4,1,4,trail,2.0,2.0,3362,0.9538656761962799,37.001784651992864,-3612.2500000000036,-0.013494635616053524,2256,0.976343411012208,1106,0.9190843526364776,0.9190394523653731
99,ratio,2.0,,4,1,4,trail,2.0,3.0,2905,1.1130753980977044,38.65748709122203,9005.821428571404,0.06714586954752462,1961,1.1533632170563481,944,1.0515044377213967,1.0138725814600538
100,ratio,2.0,,4,1,8,R,1.5,2.0,2738,1.050017925192198,42.878013148283415,4708.75,0.01619249764698428,1867,1.0347713961959424,871,1.0740330433831173,0.9364155319918063
101,ratio,2.0,,4,1,8,R,2.0,2.0,2468,1.0911283262582383,39.910858995137765,8275.5,0.045400512584259915,1681,1.101128262547914,787,1.0755035095763819,0.9211302519689981
102,ratio,2.0,,4,1,8,trail,2.0,2.0,3360,0.9737589094611724,37.32142857142857,-2029.4999999999982,-0.0004925020686817989,2256,1.0063974952530264,1104,0.9242585355139439,0.9178125865360783
103,ratio,2.0,,4,1,8,trail,2.0,3.0,2891,1.1398797609661362,39.08682116914562,11069.249999999976,0.08546222196761265,1954,1.1869002396152137,937,1.0677823961620971,1.0179284946464682
104,ratio,2.0,,4,4,4,R,1.5,2.0,2772,1.0307034223025338,42.24386724386724,2926.75,0.00039711343625683664,1890,1.0189396217660656,882,1.049139213745649,0.9319540960772736
105,ratio,2.0,,4,4,4,R,2.0,2.0,2496,1.0763621173566897,39.26282051282051,6992.25,0.031175602844624988,1705,1.087024205200696,791,1.0596618577504362,0.9658420551855376
106,ratio,2.0,,4,4,4,trail,2.0,2.0,3357,0.9455772812129164,37.05689603812928,-4286.428571428582,-0.017500343835363103,2253,0.979881500354537,1104,0.8933247293816939,0.891409769478765
107,ratio,2.0,,4,4,4,trail,2.0,3.0,2902,1.1056629641870281,38.55961405926947,8466.571428571411,0.06064188289322567,1958,1.150781786579546,944,1.0371675218116687,0.9996172526660325
108,ratio,2.0,,4,4,8,R,1.5,2.0,2723,1.0407612779724567,42.78369445464561,3864.75,0.011802818956340054,1856,1.028797109510074,867,1.0595965355271375,0.9401852270160379
109,ratio,2.0,,4,4,8,R,2.0,2.0,2450,1.0861569311486217,40.04081632653062,7841.25,0.045861490451225714,1671,1.0957430528675207,779,1.0711440997554047,0.9410880155386038
110,ratio,2.0,,4,4,8,trail,2.0,2.0,3353,0.9619794555203711,37.36951983298539,-2960.107142857143,-0.006660954287227003,2251,1.0028697279647802,1102,0.9007062367050539,0.8950893098246199
111,ratio,2.0,,4,4,8,trail,2.0,3.0,2887,1.1293593877036079,38.967786629719434,10299.374999999978,0.07693077075045508,1951,1.1751021501452459,936,1.0591828406308466,1.0134070629368777
112,ratio,2.0,,6,1,4,R,1.5,2.0,2300,0.9783934280451398,41.69565217391305,-1785.875,-0.016904643971293404,1571,1.0185838638166325,729,0.9193786816583421,0.8480209828948707
113,ratio,2.0,,6,1,4,R,2.0,2.0,2083,0.9715149814485704,38.502160345655305,-2284.0,-0.017668290177641904,1413,1.0354796112402282,670,0.879362301194734,0.8191457448772383
114,ratio,2.0,,6,1,4,trail,2.0,2.0,3139,0.8857687399084124,36.60401401720293,-7956.464285714275,-0.04111494525362233,2108,0.9324095141379481,1031,0.8162932363844316,0.7749465554782855
115,ratio,2.0,,6,1,4,trail,2.0,3.0,2576,1.0154182658270297,37.92701863354037,1108.3392857142771,0.01618993651565149,1740,1.0791558774795567,836,0.922747838087934,0.8096095769634005
116,ratio,2.0,,6,1,8,R,1.5,2.0,2255,1.0071351275126226,42.926829268292686,581.875,0.005480510639160624,1544,1.0724062051314065,711,0.9134838589289046,0.8561504555472247
117,ratio,2.0,,6,1,8,R,2.0,2.0,2033,0.9816146730080989,39.39990162321692,-1460.25,-0.006780243920177068,1383,1.0789497753745998,650,0.8443876390005614,0.7907625292416193
118,ratio,2.0,,6,1,8,trail,2.0,2.0,3135,0.9100869395412272,37.06539074960127,-6150.17857142856,-0.03011642190492022,2105,0.965432623295061,1030,0.82801219150147,0.8002958097690556
119,ratio,2.0,,6,1,8,trail,2.0,3.0,2554,1.0347617314474329,38.17541111981206,2473.0178571428496,0.025647164318762773,1725,1.1076502274099778,829,0.929961468068428,0.830718359970107
120,ratio,2.0,,6,4,4,R,1.5,2.0,2290,0.9690539412107486,41.572052401746724,-2575.625,-0.023365566887529016,1564,1.0174751675336713,726,0.8985017897339386,0.8406208070717435
121,ratio,2.0,,6,4,4,R,2.0,2.0,2065,0.953587557225172,38.30508474576271,-3743.5,-0.029937301589525817,1397,1.0220655369139913,668,0.8561375311683239,0.8086309967757112
122,ratio,2.0,,6,4,4,trail,2.0,2.0,3129,0.8648393937810773,36.36944710770214,-9516.749999999985,-0.04956502977082693,2101,0.9163986427301881,1028,0.7886361265395434,0.7471664583658797
123,ratio,2.0,,6,4,4,trail,2.0,3.0,2567,1.0000440443435494,37.865212310089596,3.196428571420256,0.009799245740195065,1732,1.0630804916513261,835,0.9088901581653559,0.7921590089532228
