range_tf,sig_tf,session,model,status,gate,canary_pass,overlap_ny_pct,lookback,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts,per_year
15m,5m,ny_am,W3+W11,REJECTED,PF 0.26 < 1.15,,,20.0,fixed2r,184,0.2845,20.1,0.26,-0.866,-159.3,-159.0,4.35,null
15m,5m,ny_am,W4,REJECTED,PF 0.34 < 1.15,,,40.0,fixed2r,128,0.1979,21.9,0.34,-0.713,-91.3,-91.7,5.48,null
15m,5m,ny_am,W5,REJECTED,PF 0.79 < 1.15,,,40.0,target_or_2r,4617,7.1376,39.2,0.79,-0.144,-666.9,-678.6,13.97,null
15m,5m,ny_am,W6,REJECTED,PF 0.57 < 1.15,,,40.0,fixed2r,21,0.0325,28.6,0.57,-0.277,-5.8,-10.6,36.56,null
15m,5m,ny_am,W7,REJECTED,PF 0.33 < 1.15,,,40.0,fixed2r,528,0.8163,23.3,0.33,-0.733,-387.2,-388.4,5.0,null
15m,5m,ny_am,W8,REJECTED,PF 0.33 < 1.15,,,40.0,fixed2r,470,0.7266,21.3,0.33,-0.725,-340.5,-337.9,6.42,null
15m,5m,24h-control,W1,REJECTED,PF 0.79 < 1.15,,,40.0,fixed2r,11760,18.1802,34.0,0.79,-0.162,-1899.5,-1927.4,10.75,null
15m,5m,24h-control,W1+W11,REJECTED,PF 0.75 < 1.15,,,40.0,fixed2r,2682,4.1462,33.1,0.75,-0.195,-523.7,-538.0,10.34,null
15m,5m,24h-control,W2,REJECTED,PF 0.67 < 1.15,,,40.0,fixed2r,13692,21.167,32.2,0.67,-0.276,-3784.9,-3797.8,7.5,null
15m,5m,24h-control,W3,REJECTED,PF 0.29 < 1.15,,,20.0,fixed2r,506,0.7822,21.7,0.29,-0.816,-412.9,-411.4,4.38,null
15m,5m,24h-control,W3+W11,REJECTED,PF 0.26 < 1.15,,,20.0,fixed2r,938,1.4501,20.1,0.26,-0.869,-815.6,-814.1,4.12,null
15m,5m,24h-control,W4,REJECTED,PF 0.32 < 1.15,,,40.0,fixed2r,904,1.3975,23.0,0.32,-0.754,-681.3,-678.2,4.82,null
15m,5m,24h-control,W5,REJECTED,PF 0.74 < 1.15,,,40.0,target_or_2r,16929,26.1712,36.7,0.74,-0.203,-3433.9,-3453.3,9.51,null
15m,5m,24h-control,W6,REJECTED,PF 0.76 < 1.15,,,20.0,fixed2r,663,1.025,31.1,0.76,-0.18,-119.6,-150.9,11.29,null
15m,5m,24h-control,W7,REJECTED,PF 0.26 < 1.15,,,40.0,fixed2r,3133,4.8434,21.5,0.26,-0.882,-2764.2,-2764.3,3.45,null
15m,5m,24h-control,W8,REJECTED,PF 0.30 < 1.15,,,40.0,fixed2r,1496,2.3127,21.7,0.3,-0.805,-1204.9,-1202.1,4.77,null
30m,5m,asia,W1,REJECTED,PF 0.88 < 1.15,,,20.0,fixed2r,878,1.3573,37.2,0.88,-0.091,-80.2,-101.7,8.25,null
30m,5m,asia,W1+W11,REJECTED,PF 0.85 < 1.15,,,20.0,fixed2r,150,0.2319,36.0,0.85,-0.115,-17.3,-37.3,9.36,null
30m,5m,asia,W2,REJECTED,PF 0.66 < 1.15,,,40.0,fixed2r,815,1.2599,32.3,0.66,-0.292,-238.0,-239.9,6.26,null
30m,5m,asia,W3,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
30m,5m,asia,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
30m,5m,asia,W4,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
30m,5m,asia,W5,REJECTED,PF 0.75 < 1.15,,,20.0,target_or_2r,1850,2.86,34.4,0.75,-0.202,-373.6,-377.1,8.02,null
30m,5m,asia,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
30m,5m,asia,W7,REJECTED,PF 0.25 < 1.15,,,20.0,fixed2r,163,0.252,23.9,0.25,-0.923,-150.4,-147.9,2.06,null
30m,5m,asia,W8,REJECTED,PF 0.36 < 1.15,,,40.0,fixed2r,90,0.1391,24.4,0.36,-0.691,-62.2,-62.7,4.69,null
30m,5m,london,W1,REJECTED,PF 0.65 < 1.15,,,20.0,fixed2r,2022,3.1259,31.8,0.65,-0.299,-604.3,-609.9,7.21,null
30m,5m,london,W1+W11,REJECTED,PF 0.84 < 1.15,,,40.0,fixed2r,103,0.1592,37.9,0.84,-0.127,-13.1,-21.0,6.06,null
30m,5m,london,W2,REJECTED,PF 0.64 < 1.15,,,20.0,fixed2r,2449,3.786,32.7,0.64,-0.31,-759.7,-762.8,5.81,null
30m,5m,london,W3,REJECTED,PF 0.23 < 1.15,,,20.0,fixed2r,93,0.1438,25.8,0.23,-0.994,-92.5,-89.2,2.42,null
30m,5m,london,W3+W11,REJECTED,PF 0.29 < 1.15,,,20.0,fixed2r,47,0.0727,34.0,0.29,-0.888,-41.7,-39.7,1.68,null
30m,5m,london,W4,REJECTED,PF 0.28 < 1.15,,,20.0,fixed2r,115,0.1778,25.2,0.28,-0.887,-102.0,-101.6,2.2,null
30m,5m,london,W5,REJECTED,PF 0.66 < 1.15,,,20.0,target_or_2r,3270,5.0552,35.6,0.66,-0.275,-898.0,-899.6,7.29,null
30m,5m,london,W6,REJECTED,PF 0.25 < 1.15,,,20.0,fixed2r,24,0.0371,12.5,0.25,-0.727,-17.5,-17.1,14.27,null
30m,5m,london,W7,REJECTED,PF 0.27 < 1.15,,,20.0,fixed2r,640,0.9894,26.1,0.27,-0.903,-578.2,-577.1,2.22,null
30m,5m,london,W8,REJECTED,PF 0.37 < 1.15,,,40.0,fixed2r,35,0.0541,31.4,0.37,-0.814,-28.5,-25.6,2.59,null
30m,5m,pre_ny,W1,REJECTED,PF 0.93 < 1.15,,,40.0,fixed2r,408,0.6307,37.5,0.93,-0.051,-20.9,-62.0,11.53,null
30m,5m,pre_ny,W1+W11,REJECTED,PF 0.99 < 1.15,,,40.0,fixed2r,163,0.252,38.0,0.99,-0.007,-1.1,-33.2,12.88,null
30m,5m,pre_ny,W2,REJECTED,PF 0.69 < 1.15,,,20.0,fixed2r,1657,2.5616,32.5,0.69,-0.262,-433.9,-444.5,8.08,null
30m,5m,pre_ny,W3,REJECTED,PF 0.26 < 1.15,,,20.0,fixed2r,205,0.3169,17.1,0.26,-0.809,-165.8,-164.2,6.54,null
30m,5m,pre_ny,W3+W11,REJECTED,PF 0.26 < 1.15,,,20.0,fixed2r,115,0.1778,17.4,0.26,-0.809,-93.0,-91.4,7.78,null
30m,5m,pre_ny,W4,REJECTED,PF 0.45 < 1.15,,,40.0,fixed2r,65,0.1005,26.2,0.45,-0.509,-33.1,-35.1,8.92,null
30m,5m,pre_ny,W5,REJECTED,PF 0.90 < 1.15,,,40.0,exit3,546,0.8441,36.1,0.9,-0.053,-29.1,-49.6,12.83,null
30m,5m,pre_ny,W6,REJECTED,PF 0.94 < 1.15,,,20.0,fixed2r,19,0.0294,36.8,0.94,-0.036,-0.7,-6.5,15.83,null
30m,5m,pre_ny,W7,REJECTED,PF 0.28 < 1.15,,,20.0,fixed2r,623,0.9631,22.2,0.28,-0.844,-525.9,-524.8,3.63,null
30m,5m,pre_ny,W8,REJECTED,PF 0.37 < 1.15,,,20.0,fixed2r,154,0.2381,25.3,0.37,-0.691,-106.5,-106.2,5.04,null
30m,5m,ny_am,W1,REJECTED,PF 0.89 < 1.15,,,40.0,fixed2r,1695,2.6204,35.0,0.89,-0.085,-143.5,-150.0,14.34,null
