level,model,params,verdict,n,pf,freq_tr_wk,last6_pos,last6_of,canary_pass,label,reasons,per_year_pf
PRIOR_CLOSE_hi,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 1, 'exit_type': 'exit3'}",DEAD,5771,0.654,8.943,0,6,,,PF 0.654 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.682, 2015: 0.531, 2016: 0.605, 2017: 0.377, 2018: 0.706, 2019: 0.767, 2020: 0.683, 2021: 0.696, 2022: 0.788, 2023: 0.699, 2024: 0.787, 2025: 0.677, 2026: 0.6}"
PRIOR_CLOSE_hi,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 3, 'exit_type': 1.5}",DEAD,8190,0.704,12.692,0,6,,,PF 0.704 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.73, 2015: 0.536, 2016: 0.693, 2017: 0.4, 2018: 0.708, 2019: 0.807, 2020: 0.653, 2021: 0.778, 2022: 0.814, 2023: 0.797, 2024: 0.848, 2025: 0.782, 2026: 0.884}"
PRIOR_CLOSE_hi,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 3, 'exit_type': 'exit3'}",DEAD,8190,0.661,12.692,0,6,,,PF 0.661 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.708, 2015: 0.49, 2016: 0.624, 2017: 0.348, 2018: 0.71, 2019: 0.804, 2020: 0.67, 2021: 0.708, 2022: 0.817, 2023: 0.697, 2024: 0.765, 2025: 0.734, 2026: 0.744}"
PRIOR_CLOSE_hi,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 1, 'exit_type': 1.5}",DEAD,5472,0.719,8.48,0,6,,,PF 0.719 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.733, 2015: 0.585, 2016: 0.679, 2017: 0.429, 2018: 0.713, 2019: 0.83, 2020: 0.665, 2021: 0.796, 2022: 0.817, 2023: 0.807, 2024: 0.921, 2025: 0.733, 2026: 0.719}"
PRIOR_CLOSE_hi,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 1, 'exit_type': 'exit3'}",DEAD,5472,0.669,8.48,0,6,,,PF 0.669 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.714, 2015: 0.541, 2016: 0.621, 2017: 0.382, 2018: 0.736, 2019: 0.824, 2020: 0.712, 2021: 0.709, 2022: 0.781, 2023: 0.69, 2024: 0.785, 2025: 0.661, 2026: 0.585}"
PRIOR_CLOSE_hi,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 3, 'exit_type': 1.5}",DEAD,7882,0.714,12.215,0,6,,,PF 0.714 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.757, 2015: 0.537, 2016: 0.704, 2017: 0.4, 2018: 0.732, 2019: 0.843, 2020: 0.672, 2021: 0.79, 2022: 0.81, 2023: 0.792, 2024: 0.85, 2025: 0.765, 2026: 0.873}"
PRIOR_CLOSE_hi,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 3, 'exit_type': 'exit3'}",DEAD,7882,0.672,12.215,0,6,,,PF 0.672 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.734, 2015: 0.492, 2016: 0.639, 2017: 0.348, 2018: 0.731, 2019: 0.841, 2020: 0.691, 2021: 0.718, 2022: 0.812, 2023: 0.691, 2024: 0.764, 2025: 0.722, 2026: 0.733}"
PRIOR_CLOSE_hi,break_retest_continuation,{'exit_type': 1.5},DEAD,9092,0.791,14.09,3,6,,,PF 0.791 < 1.15; only 3/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.475, 2015: 0.542, 2016: 0.532, 2017: 0.56, 2018: 0.823, 2019: 0.716, 2020: 0.84, 2021: 0.984, 2022: 0.982, 2023: 1.248, 2024: 1.019, 2025: 1.141, 2026: 1.059}"
PRIOR_CLOSE_hi,break_retest_continuation,{'exit_type': 'exit3'},DEAD,9092,0.756,14.09,3,6,,,PF 0.756 < 1.15; only 3/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.45, 2015: 0.477, 2016: 0.487, 2017: 0.525, 2018: 0.773, 2019: 0.689, 2020: 0.855, 2021: 0.945, 2022: 0.951, 2023: 1.112, 2024: 1.019, 2025: 1.177, 2026: 1.154}"
PRIOR_CLOSE_hi,failed_break_back_into_range,"{'fb_bars': 2, 'exit_type': 1.5}",DEAD,3350,0.711,5.191,0,6,,,PF 0.711 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.833, 2015: 0.496, 2016: 0.731, 2017: 0.376, 2018: 0.746, 2019: 0.953, 2020: 0.723, 2021: 0.76, 2022: 0.738, 2023: 0.756, 2024: 0.83, 2025: 0.799, 2026: 0.946}"
