pd_tf,sig_tf,session,tick_mult,disp_min,disc,entry_style,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
4h,15m,asia,1,1,False,mid,exit3,102,0.158,39.2,0.89,-0.062,-6.3,-17.2,14.91
4h,15m,asia,1,1,True,top,fixed2r,50,0.077,36.0,0.75,-0.21,-10.5,-12.2,10.47
4h,15m,asia,1,1,True,top,exit3,50,0.077,34.0,0.64,-0.25,-12.5,-12.2,10.47
4h,15m,asia,1,1,True,mid,fixed2r,54,0.083,38.9,0.93,-0.055,-3.0,-11.5,12.08
4h,15m,asia,1,1,True,mid,exit3,54,0.083,38.9,0.76,-0.157,-8.5,-12.0,12.08
4h,15m,asia,1,2,False,top,fixed2r,55,0.085,41.8,1.03,0.023,1.2,-10.9,14.09
4h,15m,asia,1,2,False,top,exit3,55,0.085,40.0,0.9,-0.059,-3.3,-9.9,14.09
4h,15m,asia,1,2,False,mid,fixed2r,55,0.085,36.4,0.9,-0.076,-4.2,-14.6,13.79
4h,15m,asia,1,2,False,mid,exit3,55,0.085,36.4,0.81,-0.112,-6.2,-12.0,13.79
4h,15m,asia,1,2,True,top,fixed2r,30,0.046,43.3,0.95,-0.037,-1.1,-5.9,11.76
4h,15m,asia,1,2,True,top,exit3,30,0.046,40.0,0.78,-0.153,-4.6,-5.9,11.76
4h,15m,asia,1,2,True,mid,fixed2r,32,0.049,43.8,1.15,0.103,3.3,-6.0,12.77
4h,15m,asia,1,2,True,mid,exit3,32,0.049,43.8,0.96,-0.022,-0.7,-5.5,12.77
4h,15m,asia,3,1,False,top,fixed2r,91,0.141,37.4,0.92,-0.063,-5.7,-16.8,17.34
4h,15m,asia,3,1,False,top,exit3,91,0.141,36.3,0.86,-0.085,-7.7,-12.3,17.34
4h,15m,asia,3,1,False,mid,fixed2r,93,0.144,37.6,0.97,-0.022,-2.1,-20.0,15.29
4h,15m,asia,3,1,False,mid,exit3,93,0.144,37.6,0.85,-0.092,-8.6,-17.4,15.29
4h,15m,asia,3,1,True,top,fixed2r,43,0.066,37.2,0.79,-0.174,-7.5,-10.0,10.63
4h,15m,asia,3,1,True,top,exit3,43,0.066,34.9,0.71,-0.197,-8.5,-9.7,10.63
4h,15m,asia,3,1,True,mid,fixed2r,47,0.073,40.4,1.0,-0.001,-0.1,-10.6,12.23
4h,15m,asia,3,1,True,mid,exit3,47,0.073,40.4,0.82,-0.118,-5.6,-10.2,12.23
4h,15m,asia,3,2,False,top,fixed2r,50,0.077,40.0,0.95,-0.036,-1.8,-10.7,13.79
4h,15m,asia,3,2,False,top,exit3,50,0.077,38.0,0.84,-0.096,-4.8,-9.2,13.79
4h,15m,asia,3,2,False,mid,fixed2r,50,0.077,34.0,0.81,-0.143,-7.2,-14.4,13.45
4h,15m,asia,3,2,False,mid,exit3,50,0.077,34.0,0.72,-0.173,-8.7,-12.3,13.45
4h,15m,asia,3,2,True,top,fixed2r,27,0.042,44.4,0.96,-0.034,-0.9,-5.2,9.5
4h,15m,asia,3,2,True,top,exit3,27,0.042,40.7,0.79,-0.145,-3.9,-5.5,9.5
4h,15m,asia,3,2,True,mid,fixed2r,29,0.045,44.8,1.18,0.12,3.5,-6.0,12.23
4h,15m,asia,3,2,True,mid,exit3,29,0.045,44.8,0.94,-0.035,-1.0,-5.5,12.23
4h,15m,24h,1,1,False,top,fixed2r,750,1.159,37.1,0.92,-0.06,-44.6,-50.8,16.63
4h,15m,24h,1,1,False,top,exit3,750,1.159,37.1,0.83,-0.102,-76.3,-80.5,16.63
4h,15m,24h,1,1,False,mid,fixed2r,762,1.178,37.5,0.93,-0.055,-41.8,-56.7,16.82
4h,15m,24h,1,1,False,mid,exit3,762,1.178,37.5,0.83,-0.104,-79.6,-89.5,16.82
4h,15m,24h,1,1,True,top,fixed2r,413,0.638,36.6,0.87,-0.097,-40.1,-54.4,13.49
4h,15m,24h,1,1,True,top,exit3,413,0.638,36.3,0.77,-0.143,-59.1,-65.8,13.49
4h,15m,24h,1,1,True,mid,fixed2r,428,0.662,38.6,0.94,-0.046,-19.8,-44.8,13.93
4h,15m,24h,1,1,True,mid,exit3,428,0.662,38.6,0.82,-0.111,-47.7,-61.0,13.93
4h,15m,24h,1,2,False,top,fixed2r,583,0.901,38.4,0.97,-0.019,-11.3,-43.3,17.49
4h,15m,24h,1,2,False,top,exit3,583,0.901,38.3,0.88,-0.071,-41.1,-42.8,17.49
4h,15m,24h,1,2,False,mid,fixed2r,586,0.906,37.9,0.94,-0.046,-26.9,-52.4,17.23
4h,15m,24h,1,2,False,mid,exit3,586,0.906,37.9,0.86,-0.086,-50.4,-57.3,17.23
4h,15m,24h,1,2,True,top,fixed2r,315,0.487,38.7,0.96,-0.033,-10.3,-33.6,14.54
4h,15m,24h,1,2,True,top,exit3,315,0.487,38.4,0.85,-0.088,-27.8,-38.0,14.54
4h,15m,24h,1,2,True,mid,fixed2r,326,0.504,39.9,0.99,-0.006,-1.9,-38.1,15.56
4h,15m,24h,1,2,True,mid,exit3,326,0.504,39.9,0.88,-0.07,-22.8,-42.6,15.56
4h,15m,24h,3,1,False,top,fixed2r,705,1.09,36.9,0.93,-0.053,-37.3,-46.9,17.57
4h,15m,24h,3,1,False,top,exit3,705,1.09,36.9,0.85,-0.09,-63.2,-67.6,17.57
4h,15m,24h,3,1,False,mid,fixed2r,714,1.104,37.1,0.93,-0.049,-35.1,-49.1,17.46
4h,15m,24h,3,1,False,mid,exit3,714,1.104,37.3,0.84,-0.094,-67.3,-76.2,17.46
4h,15m,24h,3,1,True,top,fixed2r,375,0.58,36.3,0.89,-0.085,-31.8,-48.7,14.78
4h,15m,24h,3,1,True,top,exit3,375,0.58,36.0,0.8,-0.124,-46.7,-55.8,14.78
4h,15m,24h,3,1,True,mid,fixed2r,389,0.601,37.8,0.93,-0.053,-20.6,-46.0,15.94
4h,15m,24h,3,1,True,mid,exit3,389,0.601,37.8,0.82,-0.114,-44.5,-59.9,15.94
4h,15m,24h,3,2,False,top,fixed2r,554,0.856,38.3,0.98,-0.014,-7.9,-41.5,18.03
4h,15m,24h,3,2,False,top,exit3,554,0.856,38.1,0.89,-0.065,-35.9,-40.4,18.03
4h,15m,24h,3,2,False,mid,fixed2r,554,0.856,37.4,0.94,-0.043,-23.8,-54.2,18.55
4h,15m,24h,3,2,False,mid,exit3,554,0.856,37.5,0.86,-0.081,-44.7,-52.6,18.55
4h,15m,24h,3,2,True,top,fixed2r,289,0.447,38.8,0.98,-0.014,-4.0,-28.8,15.78
